Job Code,JobID,Job Name,Behavioral Competency Name,Behavioral Competency Description,Behavioral Competency Level,Behavioral Competency Level Description,Behavioral Competency ID
JOB-T02,1077103,Elementary School Teacher ABC,Ensures Accountability,Holding self and others accountable to meet commitments.,1,"Holds self and others accountable to meet commitments. For example, operates with a clear sense of responsibility; learns about, and adheres to, most policies, procedures, and work requirements. Takes steps to ensure work is done properly, communicates status, and addresses any errors.",765620
JOB-T02,1077103,Elementary School Teacher ABC,Plans and Aligns,Planning and prioritizing work to meet commitments aligned with organizational goals.,1,"Plans and prioritizes work to meet commitments aligned with organizational goals. For example, gains a clear understanding of the main tasks needed to complete work in the right sequence. Identifies the support and resources needed to carry out plans; delivers on time at an acceptable quality level.",765643
JOB-T02,1077103,Elementary School Teacher ABC,Collaborates,Building partnerships and working collaboratively with others to meet shared objectives.,1,"Builds partnerships and works collaboratively with others to meet shared objectives. For example, learns how to operate as a team player, contributing actively to the group's efforts. Seeks others' inputs, appreciates their contributions; offers to help when the need is clear.",765624
JOB-T02,1077103,Elementary School Teacher ABC,Communicates Effectively,Developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences.,1,"Develops and delivers multi-mode communications that convey a clear understanding of the unique needs of different audiences. For example, pays attention to others' insights, advice, or instruction, grasping the main elements. Promptly shares relevant information with the right amount of detail.",765625
JOB-T02,1077103,Elementary School Teacher ABC,Drives Results,"Consistently achieving results, even under tough circumstances.",1,"Consistently achieves results, even under tough circumstances. For example, does what is necessary to meet goals and deliver expected results with acceptable quality. Shows consistent effort to complete even unpleasant or routine tasks in a timely manner; maintains work focus despite obstacles or setbacks.",765646
JOB-T02,1077103,Elementary School Teacher ABC,Tech Savvy,Anticipating and adopting innovations in business-building digital and technology applications.,1,"Anticipates and adopts innovations in business-building digital and technology applications. For example, makes effective use of the latest technologies required for success in the role; grasps the main terminology. Learns and adopts new technologies, although may require some time to master the changes.",765653
JOB-T03,1077110,Secondary School Teacher ABC,Ensures Accountability,Holding self and others accountable to meet commitments.,3,"Holds self and others accountable to meet commitments. For example, accepts responsibility for own work, both successes and failures. Handles fair share and does not make excuses for problems. Usually meets commitments to others.",765620
JOB-T03,1077110,Secondary School Teacher ABC,Communicates Effectively,Developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences.,4,"Develops and delivers multi-mode communications that convey a clear understanding of the unique needs of different audiences. For example, disseminates knowledge, insights, and updates in a polished, precise, and compelling manner. Demonstrates a deep interest in others' comments. Creates rich documents and reports.",765625
JOB-T03,1077110,Secondary School Teacher ABC,Manages Complexity,"Making sense of complex, high quantity, and sometimes contradictory information to effectively solve problems.",4,"Makes sense of complex, high quantity, and sometimes contradictory information to effectively solve problems. For example, consistently looks at complex issues from many angles; obtains a rich and deep understanding; swiftly cuts to the core issue; skillfully separates root causes from symptoms.",765626
JOB-T03,1077110,Secondary School Teacher ABC,Decision Quality,Making good and timely decisions that keep the organization moving forward.,4,"Makes good and timely decisions that keep the organization moving forward. For example, consistently demonstrates strong judgment; may be sought out by others for expertise and guidance. Takes smart, independent action in urgent and non-routine situations, knows when to escalate for others' involvement.",765630
JOB-T03,1077110,Secondary School Teacher ABC,Develops Talent,Developing people to meet both their career goals and the organization’s goals.,3,"Develops people to meet both their career goals and the organization's goals. For example, shares own experience and expertise with others if asked. Provides constructive feedback and other support for other people's development.",765631
JOB-T03,1077110,Secondary School Teacher ABC,Plans and Aligns,Planning and prioritizing work to meet commitments aligned with organizational goals.,3,"Plans and prioritizes work to meet commitments aligned with organizational goals. For example, outlines clear plans that put actions in a logical sequence; conveys some time frames. Aligns own work with relevant workgroups. Takes some steps to reduce bottlenecks and speed up the work.",765643
JOB-T03,1077110,Secondary School Teacher ABC,Situational Adaptability,Adapting approach and demeanor in real time to match the shifting demands of different situations.,3,"Adapts approach and demeanor in real time to match the shifting demands of different situations. For example, takes steps to adapt to changing needs, conditions, priorities, or opportunities.  Understands the cues that suggest a change in approach is needed; adopts new behaviors accordingly.",765649
JOB-T03,1077110,Secondary School Teacher ABC,Drives Engagement,Creating a climate where people are motivated to do their best to help the organization achieve its objectives.,3,"Creates a climate where people are motivated to do their best to help the organization achieve its objectives. For example, shares insight into the purpose of the work, involves others appropriately and gives them credit for their contributions. Praises the successes of others.",765634
JOB-T03,1077110,Secondary School Teacher ABC,Directs Work,"Providing direction, delegating, and removing obstacles to get work done.",4,"Provides direction, delegating, and removing obstacles to get work done. For example, confirms mutual agreement on accountabilities, fostering strong coordination and minimizing duplicated efforts. Communicates delays or problems early so others can manage their own work schedules effectively.",765633
