Job Code,JobID,Job Name,Trait Name,Trait Description,Trait Score,Trait Level Description,Trait ID
JOB-T02,1077103,Elementary School Teacher ABC,Focus,"Preference for organization, procedure, and exactitude.",6.68,"Preference for organization, procedure, and exactitude.",765682
JOB-T02,1077103,Elementary School Teacher ABC,Need for Achievement,A tendency to work intensely to achieve and exceed difficult standards.,6.01,A tendency to work intensely to achieve and exceed difficult standards.,765695
JOB-T02,1077103,Elementary School Teacher ABC,Persistence,"A tendency toward passionate and steadfast pursuit of long-term goals, in spite of obstacles, discouragement, or distraction.",6.01,"A tendency toward passionate and steadfast pursuit of long-term goals, in spite of obstacles, discouragement, or distraction.",765696
JOB-T02,1077103,Elementary School Teacher ABC,Adaptability,Comfort with unanticipated changes of direction or approach.,5.68,Comfort with unanticipated changes of direction or approach.,765680
JOB-T02,1077103,Elementary School Teacher ABC,Openness to Differences,"A desire to consider and explore differences in perspective, thought, and experience of persons from a variety of backgrounds.",5.61,"A desire to consider and explore differences in perspective, thought, and experience of persons from a variety of backgrounds.",765690
JOB-T02,1077103,Elementary School Teacher ABC,Curiosity,"The extent to which a person is likely to tackle problems in a novel way, see patterns in complex information, and pursue deep understanding.",5.59,"The extent to which a person is likely to tackle problems in a novel way, see patterns in complex information, and pursue deep understanding.",765681
JOB-T02,1077103,Elementary School Teacher ABC,Composure,"The ability to stay calm and poised in stressful, difficult, or ambiguous situations.",5.57,"The ability to stay calm and poised in stressful, difficult, or ambiguous situations.",765687
JOB-T02,1077103,Elementary School Teacher ABC,Optimism,The degree to which people are comfortable with themselves and positive about life.,5.5,The degree to which people are comfortable with themselves and positive about life.,765688
JOB-T03,1077110,Secondary School Teacher ABC,Need for Achievement,A tendency to work intensely to achieve and exceed difficult standards.,6.38,A tendency to work intensely to achieve and exceed difficult standards.,765695
JOB-T03,1077110,Secondary School Teacher ABC,Risk-Taking,A willingness to take a stand or take chances based on limited information.,6.26,A willingness to take a stand or take chances based on limited information.,765684
JOB-T03,1077110,Secondary School Teacher ABC,Confidence,The degree to which a person is convinced that they control the course of events in their lives.,6.25,The degree to which a person is convinced that they control the course of events in their lives.,765697
JOB-T03,1077110,Secondary School Teacher ABC,Influence,The ability to motivate and persuade others.,6.18,The ability to motivate and persuade others.,765676
JOB-T03,1077110,Secondary School Teacher ABC,Tolerance of Ambiguity,"Comfort with uncertain, vague, or contradictory information that prevents a clear understanding or direction.",6.13,"Comfort with uncertain, vague, or contradictory information that prevents a clear understanding or direction.",765683
JOB-T03,1077110,Secondary School Teacher ABC,Persistence,"A tendency toward passionate and steadfast pursuit of long-term goals, in spite of obstacles, discouragement, or distraction.",6.08,"A tendency toward passionate and steadfast pursuit of long-term goals, in spite of obstacles, discouragement, or distraction.",765696
JOB-T03,1077110,Secondary School Teacher ABC,Assertiveness,The degree to which people enjoy taking charge and directing others.,6,The degree to which people enjoy taking charge and directing others.,765677
JOB-T03,1077110,Secondary School Teacher ABC,Adaptability,Comfort with unanticipated changes of direction or approach.,5.98,Comfort with unanticipated changes of direction or approach.,765680
